Template_ID,Month_ID,Section_Order,Planet,Event_Type,Transit_Sign_From,Transit_Sign_To,Solar_House_From,Solar_House_To,Natal_House_From,Natal_House_To,Natal_House_At_Event,Date_Source,Date_Key,Date_Precision,Paragraph_Template,Priority,Active_Flag
2026_08_SIGN_VENUS_VIRGO_LIBRA_S12_S01_N01,2026-08,30,VENUS,sign_ingress,VIRGO,LIBRA,12,1,ANY,ANY,1,transit_calendar,VENUS:sign_ingress:LIBRA,exact_day,金星が{event_date}に天秤座へ移ると、静かに自分を整えてきた流れが表へ向かい、装いや振る舞いに自然な明るさが戻ります。人からどう見えるかだけでなく、自分が心地よい服装や髪型、過ごし方を選ぶほど、新しい一歩を無理なく始めやすくなるでしょう。,100,1
2026_08_SIGN_VENUS_VIRGO_LIBRA_S12_S01_N02,2026-08,30,VENUS,sign_ingress,VIRGO,LIBRA,12,1,ANY,ANY,2,transit_calendar,VENUS:sign_ingress:LIBRA,exact_day,金星が{event_date}に天秤座へ移ると、内側で育ててきた好みや価値観を、自分の選択として表に出しやすくなります。買い物や収入への期待を膨らませるより、長く使いたい物や本当に心が満たされる時間を選ぶことが、安心感と自己評価を整える助けになります。,100,1
2026_08_SIGN_VENUS_VIRGO_LIBRA_S12_S01_N03,2026-08,30,VENUS,sign_ingress,VIRGO,LIBRA,12,1,ANY,ANY,3,transit_calendar,VENUS:sign_ingress:LIBRA,exact_day,{event_date}に金星が天秤座へ移ると、控えていた言葉が柔らかく外へ向かい、身近な人との会話や学びに軽さが戻ります。連絡を一度に増やすより、気になっていた相手へ丁寧に声をかけたり、興味のある情報を少しずつ集めたりすると、自分らしい交流の形をつかみやすいでしょう。,100,1
2026_08_SIGN_VENUS_VIRGO_LIBRA_S12_S01_N04,2026-08,30,VENUS,sign_ingress,VIRGO,LIBRA,12,1,ANY,ANY,4,transit_calendar,VENUS:sign_ingress:LIBRA,exact_day,金星が{event_date}に天秤座へ移ると、自分らしさを見せたい気持ちが戻る一方で、家庭や居場所の心地よさも大切になります。外向きの印象を整えるだけでなく、部屋の配置や家族との時間を穏やかに調整すると、安心できる土台から自然に人前へ出やすくなるでしょう。,100,1
2026_08_SIGN_VENUS_VIRGO_LIBRA_S12_S01_N05,2026-08,30,VENUS,sign_ingress,VIRGO,LIBRA,12,1,ANY,ANY,5,transit_calendar,VENUS:sign_ingress:LIBRA,exact_day,{event_date}に金星が天秤座へ移ると、内側で温めていた楽しみや創作意欲が表へ出やすくなり、恋愛や趣味にも明るい手応えが戻ります。注目を集めることを急がず、自分が本当に面白いと思える表現や遊びを選ぶほど、魅力が無理なく周囲へ伝わりやすい時です。,100,1
2026_08_SIGN_VENUS_VIRGO_LIBRA_S12_S01_N06,2026-08,30,VENUS,sign_ingress,VIRGO,LIBRA,12,1,ANY,ANY,6,transit_calendar,VENUS:sign_ingress:LIBRA,exact_day,金星が{event_date}に天秤座へ移ると、気分や身だしなみを整えたい意欲が戻り、仕事や日課にも心地よいリズムを作りやすくなります。予定を詰めて一気に挽回するより、作業環境、食事、休息など毎日の小さな習慣を好みに合わせて調整すると、軽やかさを保ちやすいでしょう。,100,1
2026_08_SIGN_VENUS_VIRGO_LIBRA_S12_S01_N07,2026-08,30,VENUS,sign_ingress,VIRGO,LIBRA,12,1,ANY,ANY,7,transit_calendar,VENUS:sign_ingress:LIBRA,exact_day,{event_date}に金星が天秤座へ移ると、閉じていた気持ちが対人関係へ向かい、自分から人と会うことや好意を示すことが自然になります。相手に合わせて印象を良くするだけでなく、自分の希望も穏やかに伝えることで、無理のない距離感や協力の形を見つけやすくなるでしょう。,100,1
2026_08_SIGN_VENUS_VIRGO_LIBRA_S12_S01_N08,2026-08,30,VENUS,sign_ingress,VIRGO,LIBRA,12,1,ANY,ANY,8,transit_calendar,VENUS:sign_ingress:LIBRA,exact_day,金星が{event_date}に天秤座へ移ると、自分を表現する明るさが戻ると同時に、親しい関係や共有するお金についても向き合いやすくなります。好意だけで曖昧にせず、負担や境界線を静かに確かめることが、信頼を深めながら自分らしさを守る助けになります。,100,1
2026_08_SIGN_VENUS_VIRGO_LIBRA_S12_S01_N09,2026-08,30,VENUS,sign_ingress,VIRGO,LIBRA,12,1,ANY,ANY,9,transit_calendar,VENUS:sign_ingress:LIBRA,exact_day,{event_date}に金星が天秤座へ移ると、休息の中で育った関心が外の世界へ向かい、学び、遠出、新しい文化との接点に楽しみを見いだしやすくなります。大きな予定を急いで決めるより、読みたい本や訪れたい場所を一つ選び、視野を広げるきっかけから始めるとよいでしょう。,100,1
2026_08_SIGN_VENUS_VIRGO_LIBRA_S12_S01_N10,2026-08,30,VENUS,sign_ingress,VIRGO,LIBRA,12,1,ANY,ANY,10,transit_calendar,VENUS:sign_ingress:LIBRA,exact_day,金星が{event_date}に天秤座へ移ると、内側で整えてきた魅力や感性を、仕事や公的な役割の中で見せやすくなります。評価を得ようと役割を抱えすぎるより、伝え方、装い、成果物の見せ方を丁寧に整えることが、自分に合う立ち位置を確かめる助けになるでしょう。,100,1
2026_08_SIGN_VENUS_VIRGO_LIBRA_S12_S01_N11,2026-08,30,VENUS,sign_ingress,VIRGO,LIBRA,12,1,ANY,ANY,11,transit_calendar,VENUS:sign_ingress:LIBRA,exact_day,{event_date}に金星が天秤座へ移ると、一人で温めていた希望を友人や仲間と分かち合いやすくなり、交流の場へ戻るきっかけが生まれます。誘いの数を増やすより、価値観の合う相手や続けたい活動を選ぶことで、これからの計画を心地よい人間関係の中で育てられるでしょう。,100,1
2026_08_SIGN_VENUS_VIRGO_LIBRA_S12_S01_N12,2026-08,30,VENUS,sign_ingress,VIRGO,LIBRA,12,1,ANY,ANY,12,transit_calendar,VENUS:sign_ingress:LIBRA,exact_day,金星が{event_date}に天秤座へ移ると、外見や振る舞いには明るさが戻りますが、心の奥ではまだ静かな休息を求める部分も残ります。人前で元気に見せ続ける必要はありません。一人で楽しめる音楽や美容、睡眠などを大切にすると、内側の回復と新しい自己表現を無理なく両立できます。,100,1
2026_08_SIGN_VENUS_VIRGO_LIBRA_S01_S02_N01,2026-08,30,VENUS,sign_ingress,VIRGO,LIBRA,1,2,ANY,ANY,1,transit_calendar,VENUS:sign_ingress:LIBRA,exact_day,金星が{event_date}に天秤座へ移ると、見た目や振る舞いを整える楽しさが、持ち物やお金の使い方へつながっていきます。自分を良く見せるためだけに選ぶのではなく、身体になじみ長く愛用できる物へ目を向けるほど、落ち着いた自信を日常に定着させやすくなるでしょう。,100,1
