Template_ID,Cluster_ID,Month_ID,Event_Type,Valid_From,Peak_At,Valid_To,Carryover_Flag,Participating_Planets,Sign_Signature,Aspect_Signature,Max_Orb,Min_Planet_Count,Moon_Eligibility,Anchor_Planet,Anchor_Solar_House,Anchor_Natal_House,Personalization_Mode,House_Token_Planets,Date_Source,Date_Key,Date_Precision,Selection_Group,Supersedes_Cluster_IDs,Section_Order,Priority,Title,Paragraph_Template,Tags,Active_Flag
2026_09_OPENING_FOUR_PLANET_NETWORK_S01_N01,2026_09_OPENING_FOUR_PLANET_NETWORK,2026-09,aspect_cluster,2026-09-01T00:00:00+09:00,2026-09-01T07:17:00+09:00,2026-09-03T23:59:59+09:00,0,MERCURY|MARS|JUPITER|SATURN,MERCURY:VIRGO|MARS:CANCER|JUPITER:LEO|SATURN:ARIES,JUPITER-SATURN:120|MARS-SATURN:90|MERCURY-MARS:60,2,4,not_applicable,SATURN,1,1,anchor_house,MERCURY|MARS|JUPITER|SATURN,swiss_ephemeris,COMPOSITE:OPENING_FOUR_PLANET_NETWORK:2026-09-01,exact_day,SEP_OPENING_STRUCTURE,,20,100,自分の輪郭を持続できる形に整える,{event_date}頃は、可能性を広げたい気持ちと守るための行動、細部を確かめる判断が重なり、自分の立場を早く固めたくなりそうです。身体の反応や気力の波を無視せず、引き受ける役割と断る範囲を先に決めてください。勢いを一日の手順へ落とすと、無理なく示せる存在感が育ちます。,aspect_cluster;mercury;mars;jupiter;saturn;opening_network,1
2026_09_OPENING_FOUR_PLANET_NETWORK_S01_N02,2026_09_OPENING_FOUR_PLANET_NETWORK,2026-09,aspect_cluster,2026-09-01T00:00:00+09:00,2026-09-01T07:17:00+09:00,2026-09-03T23:59:59+09:00,0,MERCURY|MARS|JUPITER|SATURN,MERCURY:VIRGO|MARS:CANCER|JUPITER:LEO|SATURN:ARIES,JUPITER-SATURN:120|MARS-SATURN:90|MERCURY-MARS:60,2,4,not_applicable,SATURN,1,2,anchor_house,MERCURY|MARS|JUPITER|SATURN,swiss_ephemeris,COMPOSITE:OPENING_FOUR_PLANET_NETWORK:2026-09-01,exact_day,SEP_OPENING_STRUCTURE,,20,100,才能と費用を無理のない配分へ戻す,{event_date}頃は、新しい自分を打ち出したい意欲が高まる一方、使える資金や時間の限界もはっきりします。期待だけで規模を広げず、必要経費、手元に残す分、試せる上限を数字で分けましょう。価値を証明しようと急がず、続けられる配分を作ることが自信の土台になります。,aspect_cluster;mercury;mars;jupiter;saturn;opening_network,1
2026_09_OPENING_FOUR_PLANET_NETWORK_S01_N03,2026_09_OPENING_FOUR_PLANET_NETWORK,2026-09,aspect_cluster,2026-09-01T00:00:00+09:00,2026-09-01T07:17:00+09:00,2026-09-03T23:59:59+09:00,0,MERCURY|MARS|JUPITER|SATURN,MERCURY:VIRGO|MARS:CANCER|JUPITER:LEO|SATURN:ARIES,JUPITER-SATURN:120|MARS-SATURN:90|MERCURY-MARS:60,2,4,not_applicable,SATURN,1,3,anchor_house,MERCURY|MARS|JUPITER|SATURN,swiss_ephemeris,COMPOSITE:OPENING_FOUR_PLANET_NETWORK:2026-09-01,exact_day,SEP_OPENING_STRUCTURE,,20,100,主張を届く言葉と順序へ組み直す,{event_date}頃は、自分の考えを前へ出す力が増しますが、守りたい事情が強い言い方に混ざりやすい時です。結論、理由、相手に求めることを分け、今決める範囲だけを短く伝えてください。細部を整える言葉が行動の圧力を和らげ、責任ある発言として届きやすくします。,aspect_cluster;mercury;mars;jupiter;saturn;opening_network,1
2026_09_OPENING_FOUR_PLANET_NETWORK_S01_N04,2026_09_OPENING_FOUR_PLANET_NETWORK,2026-09,aspect_cluster,2026-09-01T00:00:00+09:00,2026-09-01T07:17:00+09:00,2026-09-03T23:59:59+09:00,0,MERCURY|MARS|JUPITER|SATURN,MERCURY:VIRGO|MARS:CANCER|JUPITER:LEO|SATURN:ARIES,JUPITER-SATURN:120|MARS-SATURN:90|MERCURY-MARS:60,2,4,not_applicable,SATURN,1,4,anchor_house,MERCURY|MARS|JUPITER|SATURN,swiss_ephemeris,COMPOSITE:OPENING_FOUR_PLANET_NETWORK:2026-09-01,exact_day,SEP_OPENING_STRUCTURE,,20,100,自分らしさを支える居場所を固める,{event_date}頃は、外へ向けて新しい立場を示すほど、家や身内との間にある未整理の役割も意識されます。誰か一人が抱え込まず、生活時間、連絡方法、守るべき境界を話し合いましょう。安心できる足場を具体的に整えることで、外での挑戦も長く続けられる形になります。,aspect_cluster;mercury;mars;jupiter;saturn;opening_network,1
2026_09_OPENING_FOUR_PLANET_NETWORK_S01_N05,2026_09_OPENING_FOUR_PLANET_NETWORK,2026-09,aspect_cluster,2026-09-01T00:00:00+09:00,2026-09-01T07:17:00+09:00,2026-09-03T23:59:59+09:00,0,MERCURY|MARS|JUPITER|SATURN,MERCURY:VIRGO|MARS:CANCER|JUPITER:LEO|SATURN:ARIES,JUPITER-SATURN:120|MARS-SATURN:90|MERCURY-MARS:60,2,4,not_applicable,SATURN,1,5,anchor_house,MERCURY|MARS|JUPITER|SATURN,swiss_ephemeris,COMPOSITE:OPENING_FOUR_PLANET_NETWORK:2026-09-01,exact_day,SEP_OPENING_STRUCTURE,,20,100,表現の熱を続けられる作品へ育てる,{event_date}頃は、自分らしい表現を大きく育てたい思いと、完成させる責任が同時に前へ出ます。反応を求めて案を増やすより、今仕上げる一点と次回へ残す案を分けてください。守りたい気持ちを制作手順へ移せば、情熱を一時の高揚で終わらせず作品として残せます。,aspect_cluster;mercury;mars;jupiter;saturn;opening_network,1
2026_09_OPENING_FOUR_PLANET_NETWORK_S01_N06,2026_09_OPENING_FOUR_PLANET_NETWORK,2026-09,aspect_cluster,2026-09-01T00:00:00+09:00,2026-09-01T07:17:00+09:00,2026-09-03T23:59:59+09:00,0,MERCURY|MARS|JUPITER|SATURN,MERCURY:VIRGO|MARS:CANCER|JUPITER:LEO|SATURN:ARIES,JUPITER-SATURN:120|MARS-SATURN:90|MERCURY-MARS:60,2,4,not_applicable,SATURN,1,6,anchor_house,MERCURY|MARS|JUPITER|SATURN,swiss_ephemeris,COMPOSITE:OPENING_FOUR_PLANET_NETWORK:2026-09-01,exact_day,SEP_OPENING_STRUCTURE,,20,100,意欲を日課と実務の手順へ落とし込む,{event_date}頃は、新しい役割へ挑む意欲が、仕事量や日々の世話として具体化します。できることを増やしすぎず、開始条件、確認担当、終える時刻を決めてから動きましょう。細かな改善と休息を同じ予定に入れることが、守る力と成長したい力を無理なく両立させます。,aspect_cluster;mercury;mars;jupiter;saturn;opening_network,1
2026_09_OPENING_FOUR_PLANET_NETWORK_S01_N07,2026_09_OPENING_FOUR_PLANET_NETWORK,2026-09,aspect_cluster,2026-09-01T00:00:00+09:00,2026-09-01T07:17:00+09:00,2026-09-03T23:59:59+09:00,0,MERCURY|MARS|JUPITER|SATURN,MERCURY:VIRGO|MARS:CANCER|JUPITER:LEO|SATURN:ARIES,JUPITER-SATURN:120|MARS-SATURN:90|MERCURY-MARS:60,2,4,not_applicable,SATURN,1,7,anchor_house,MERCURY|MARS|JUPITER|SATURN,swiss_ephemeris,COMPOSITE:OPENING_FOUR_PLANET_NETWORK:2026-09-01,exact_day,SEP_OPENING_STRUCTURE,,20,100,自分の立場と相手の条件を調整する,{event_date}頃は、自分の方針を明確にするほど、相手の期待や守りたい事情との違いも見えやすくなります。正しさを競う前に、双方の目的、譲れない条件、試せる期間を言葉にしてください。広げる案と制約を同じ場で扱うことで、協力を続けられる合意へ近づけます。,aspect_cluster;mercury;mars;jupiter;saturn;opening_network,1
2026_09_OPENING_FOUR_PLANET_NETWORK_S01_N08,2026_09_OPENING_FOUR_PLANET_NETWORK,2026-09,aspect_cluster,2026-09-01T00:00:00+09:00,2026-09-01T07:17:00+09:00,2026-09-03T23:59:59+09:00,0,MERCURY|MARS|JUPITER|SATURN,MERCURY:VIRGO|MARS:CANCER|JUPITER:LEO|SATURN:ARIES,JUPITER-SATURN:120|MARS-SATURN:90|MERCURY-MARS:60,2,4,not_applicable,SATURN,1,8,anchor_house,MERCURY|MARS|JUPITER|SATURN,swiss_ephemeris,COMPOSITE:OPENING_FOUR_PLANET_NETWORK:2026-09-01,exact_day,SEP_OPENING_STRUCTURE,,20,100,主導権と共同負担の境界を確かめる,{event_date}頃は、自分が先頭に立ちたい思いが、共同資金や共有責任の扱いへ直結しやすくなります。勢いで約束を増やさず、利用できる範囲、決定権、問題時の連絡順を記録しましょう。支え合いの仕組みを明文化することが、信頼と挑戦の両方を守ります。,aspect_cluster;mercury;mars;jupiter;saturn;opening_network,1
2026_09_OPENING_FOUR_PLANET_NETWORK_S01_N09,2026_09_OPENING_FOUR_PLANET_NETWORK,2026-09,aspect_cluster,2026-09-01T00:00:00+09:00,2026-09-01T07:17:00+09:00,2026-09-03T23:59:59+09:00,0,MERCURY|MARS|JUPITER|SATURN,MERCURY:VIRGO|MARS:CANCER|JUPITER:LEO|SATURN:ARIES,JUPITER-SATURN:120|MARS-SATURN:90|MERCURY-MARS:60,2,4,not_applicable,SATURN,1,9,anchor_house,MERCURY|MARS|JUPITER|SATURN,swiss_ephemeris,COMPOSITE:OPENING_FOUR_PLANET_NETWORK:2026-09-01,exact_day,SEP_OPENING_STRUCTURE,,20,100,理想を実行可能な学びの計画へ戻す,{event_date}頃は、新しい世界へ踏み出す意欲が増す一方、何を身につければ責任を持って語れるかも問われます。興味を広げる前に、読む資料、試す場所、振り返る期限を一組にしてください。大きな理想を検証できる学びへ分けることで、自分の方針に厚みが生まれます。,aspect_cluster;mercury;mars;jupiter;saturn;opening_network,1
2026_09_OPENING_FOUR_PLANET_NETWORK_S01_N10,2026_09_OPENING_FOUR_PLANET_NETWORK,2026-09,aspect_cluster,2026-09-01T00:00:00+09:00,2026-09-01T07:17:00+09:00,2026-09-03T23:59:59+09:00,0,MERCURY|MARS|JUPITER|SATURN,MERCURY:VIRGO|MARS:CANCER|JUPITER:LEO|SATURN:ARIES,JUPITER-SATURN:120|MARS-SATURN:90|MERCURY-MARS:60,2,4,not_applicable,SATURN,1,10,anchor_house,MERCURY|MARS|JUPITER|SATURN,swiss_ephemeris,COMPOSITE:OPENING_FOUR_PLANET_NETWORK:2026-09-01,exact_day,SEP_OPENING_STRUCTURE,,20,100,前に立つ責任と成果の範囲を決める,{event_date}頃は、自分の存在感を仕事や公的な役割で示したい気持ちが強まり、判断を急ぎやすくなります。期待を全部背負わず、今回の成果物、確認を求める相手、責任を終える地点を定めてください。拡大する力を明確な担当へ収めることで、信頼される前進になります。,aspect_cluster;mercury;mars;jupiter;saturn;opening_network,1
