Date,Planet,Ecliptic_Longitude,Sign_ID,Degree_In_Sign,Retrograde_Flag,Sign_Ingress_Flag,Retrograde_Start_Flag,Retrograde_End_Flag,Station_Flag,Speed
2024-01-01,SUN,280.548485,CAPRICORN,10.548485,0,0,0,0,0,1.01902145
2024-01-01,MERCURY,262.21201,SAGITTARIUS,22.21201,1,0,0,0,0,-0.09888959
2024-01-01,VENUS,243.220438,SAGITTARIUS,3.220438,0,0,0,0,0,1.21649067
2024-01-01,MARS,267.679167,SAGITTARIUS,27.679167,0,0,0,0,0,0.7417958
2024-01-01,JUPITER,35.584376,TAURUS,5.584376,0,0,0,0,0,0.00480151
2024-01-01,SATURN,333.287954,PISCES,3.287954,0,0,0,0,0,0.08903126
2024-01-01,URANUS,49.373066,TAURUS,19.373066,1,0,0,0,0,-0.02152905
2024-01-01,NEPTUNE,355.083415,PISCES,25.083415,0,0,0,0,0,0.01482124
2024-01-01,PLUTO,299.373131,CAPRICORN,29.373131,0,0,0,0,0,0.03108557
2024-01-02,SUN,281.56755,CAPRICORN,11.56755,0,0,0,0,0,1.01910732
2024-01-02,MERCURY,262.191468,SAGITTARIUS,22.191468,0,0,0,1,1,0.05595042
2024-01-02,VENUS,244.437418,SAGITTARIUS,4.437418,0,0,0,0,0,1.21746032
2024-01-02,MARS,268.421343,SAGITTARIUS,28.421343,0,0,0,0,0,0.74255508
2024-01-02,JUPITER,35.590907,TAURUS,5.590907,0,0,0,0,0,0.00825993
2024-01-02,SATURN,333.377543,PISCES,3.377543,0,0,0,0,0,0.09014517
2024-01-02,URANUS,49.351908,TAURUS,19.351908,1,0,0,0,0,-0.02078521
2024-01-02,NEPTUNE,355.098505,PISCES,25.098505,0,0,0,0,0,0.01535799
2024-01-02,PLUTO,299.404288,CAPRICORN,29.404288,0,0,0,0,0,0.03122665
2024-01-03,SUN,282.586701,CAPRICORN,12.586701,0,0,0,0,0,1.01919188
2024-01-03,MERCURY,262.320064,SAGITTARIUS,22.320064,0,0,0,0,0,0.19923193
