Template_ID,Month_ID,Section_Order,Planet,Event_Type,Transit_Sign_From,Transit_Sign_To,Solar_House_From,Solar_House_To,Natal_House_From,Natal_House_To,Natal_House_At_Event,Date_Source,Date_Key,Date_Precision,Paragraph_Template,Priority,Active_Flag
2026_09_SIGN_VENUS_LIBRA_SCORPIO_S12_S01_N01,2026-09,30,VENUS,sign_ingress,LIBRA,SCORPIO,12,1,ANY,ANY,1,transit_calendar,VENUS:sign_ingress:SCORPIO,exact_day,{event_date}に金星が天秤座から蠍座へ移り、人目を離れて好みや疲れを整えてきた流れが、自分の魅力を表へ出す段階へ切り替わります。装いや振る舞いは周囲の評価に合わせず、今の身体が落ち着く色や距離を選ぶほど、無理のない存在感を取り戻せるでしょう。,100,1
2026_09_SIGN_VENUS_LIBRA_SCORPIO_S12_S01_N02,2026-09,30,VENUS,sign_ingress,LIBRA,SCORPIO,12,1,ANY,ANY,2,transit_calendar,VENUS:sign_ingress:SCORPIO,exact_day,金星が天秤座から蠍座へ入る{event_date}を境に、見えない出費や心の不足を埋めることから、自分が本当に価値を感じる物へ資源を使う流れへ移ります。買い足す前に手元の物と予算を確かめ、長く大切にできる一つを選ぶと、安心と自己肯定を結び直せます。,100,1
2026_09_SIGN_VENUS_LIBRA_SCORPIO_S12_S01_N03,2026-09,30,VENUS,sign_ingress,LIBRA,SCORPIO,12,1,ANY,ANY,3,transit_calendar,VENUS:sign_ingress:SCORPIO,exact_day,{event_date}、金星が天秤座から蠍座へ移ると、胸の内で言葉を選んでいた時期から、自分の好みや意思を会話へ乗せる段階へ進みます。曖昧な愛想で話を合わせるより、伝えたいことを短く整え、相手の返事も聞く余白を残すほど、身近な関係に温かな信頼が生まれます。,100,1
2026_09_SIGN_VENUS_LIBRA_SCORPIO_S12_S01_N04,2026-09,30,VENUS,sign_ingress,LIBRA,SCORPIO,12,1,ANY,ANY,4,transit_calendar,VENUS:sign_ingress:SCORPIO,exact_day,静かな場所で気持ちを回復させてきた流れは、金星が天秤座から蠍座へ移る{event_date}から、自分らしい居場所を積極的に整える方向へ変わります。家族へ好みを押しつけず、照明や座る場所など小さな希望を相談すると、家の安心と外へ出る自信を一緒に育てられます。,100,1
2026_09_SIGN_VENUS_LIBRA_SCORPIO_S12_S01_N05,2026-09,30,VENUS,sign_ingress,LIBRA,SCORPIO,12,1,ANY,ANY,5,transit_calendar,VENUS:sign_ingress:SCORPIO,exact_day,{event_date}に金星が天秤座から蠍座へ入ることで、誰にも見せず温めていた楽しみが、自分の表現として外へ出やすくなります。完成度や反応を先に考えず、心が動く遊びや創作を小さく試してください。好きなものを堂々と選ぶ姿勢が、喜びと自分らしさを結びます。,100,1
2026_09_SIGN_VENUS_LIBRA_SCORPIO_S12_S01_N06,2026-09,30,VENUS,sign_ingress,LIBRA,SCORPIO,12,1,ANY,ANY,6,transit_calendar,VENUS:sign_ingress:SCORPIO,exact_day,金星が天秤座から蠍座へ移る{event_date}以降、陰で疲れを癒やすことに向いていた流れが、心地よい日課を自分から選び直す段階へ切り替わります。身だしなみ、食事、作業環境を一度に変えず、毎日続けても負担にならない手入れを一つ加えると、身体の余裕が表情にも現れます。,100,1
2026_09_SIGN_VENUS_LIBRA_SCORPIO_S12_S01_N07,2026-09,30,VENUS,sign_ingress,LIBRA,SCORPIO,12,1,ANY,ANY,7,transit_calendar,VENUS:sign_ingress:SCORPIO,exact_day,{event_date}、金星が天秤座から蠍座へ移ると、関係の裏側で気持ちを整理していた状態から、自分の希望を相手へ見せる流れへ進みます。好かれるための同意を急がず、会いたい頻度や大切にしたい約束を率直に伝えることで、一対一のつながりをより深い納得へ整えられます。,100,1
2026_09_SIGN_VENUS_LIBRA_SCORPIO_S12_S01_N08,2026-09,30,VENUS,sign_ingress,LIBRA,SCORPIO,12,1,ANY,ANY,8,transit_calendar,VENUS:sign_ingress:SCORPIO,exact_day,金星の天秤座から蠍座への移動が起こる{event_date}から、言えない負担を内側で抱える流れが、自分の境界を示して信頼を結び直す方向へ変わります。共有するお金や秘密は親しさだけで扱わず、範囲と返し方を確認してください。安心して断れることが、深い関係を守ります。,100,1
2026_09_SIGN_VENUS_LIBRA_SCORPIO_S12_S01_N09,2026-09,30,VENUS,sign_ingress,LIBRA,SCORPIO,12,1,ANY,ANY,9,transit_calendar,VENUS:sign_ingress:SCORPIO,exact_day,{event_date}に金星が天秤座から蠍座へ入ると、心の中で育ててきた憧れや価値観を、自分の言葉で学びや発信へ表す段階が始まります。借りた正解を飾るより、実際に惹かれた理由と未確認の点を分けて話すほど、遠い世界への関心が確かな自信へ変わります。,100,1
2026_09_SIGN_VENUS_LIBRA_SCORPIO_S12_S01_N10,2026-09,30,VENUS,sign_ingress,LIBRA,SCORPIO,12,1,ANY,ANY,10,transit_calendar,VENUS:sign_ingress:SCORPIO,exact_day,金星が天秤座から蠍座へ移る{event_date}を境に、舞台裏で評価や疲れを整えていた流れから、自分の強みを仕事の場で示す方向へ移ります。印象を良くするために役割を増やさず、担える範囲と得意なことを明確に伝えるほど、肩書に頼らない信頼を育てられるでしょう。,100,1
